Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional	09 Cataluña			Todas las explotaciones	2 Ovinos			Cabezas	Valor	488.771
Total Nacional	09 Cataluña			Todas las explotaciones	4 Porcinos			Cabezas	Valor	8.192.796
Total Nacional	09 Cataluña			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	42.544.012
Total Nacional	09 Cataluña	08 Barcelona		Todas las explotaciones	1 Bovinos			Cabezas	Valor	162.902
Total Nacional	09 Cataluña	08 Barcelona		Todas las explotaciones	2 Ovinos			Cabezas	Valor	128.301
Total Nacional	09 Cataluña	08 Barcelona		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.922.673
Total Nacional	09 Cataluña	08 Barcelona		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	4.141.353
Total Nacional	09 Cataluña	17 Girona		Todas las explotaciones	1 Bovinos			Cabezas	Valor	148.704
Total Nacional	09 Cataluña	17 Girona		Todas las explotaciones	2 Ovinos			Cabezas	Valor	93.985
Total Nacional	09 Cataluña	17 Girona		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.006.341
Total Nacional	09 Cataluña	17 Girona		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.520.593
Total Nacional	09 Cataluña	25 Lleida		Todas las explotaciones	1 Bovinos			Cabezas	Valor	350.357
Total Nacional	09 Cataluña	25 Lleida		Todas las explotaciones	2 Ovinos			Cabezas	Valor	208.961
Total Nacional	09 Cataluña	25 Lleida		Todas las explotaciones	4 Porcinos			Cabezas	Valor	4.665.626
Total Nacional	09 Cataluña	25 Lleida		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	22.347.660
Total Nacional	09 Cataluña	43 Tarragona		Todas las explotaciones	1 Bovinos			Cabezas	Valor	14.134
Total Nacional	09 Cataluña	43 Tarragona		Todas las explotaciones	2 Ovinos			Cabezas	Valor	57.524
Total Nacional	09 Cataluña	43 Tarragona		Todas las explotaciones	4 Porcinos			Cabezas	Valor	598.156
Total Nacional	09 Cataluña	43 Tarragona		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	12.534.406
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	1 Bovinos			Cabezas	Valor	53.712
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	2 Ovinos			Cabezas	Valor	275.034
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.381.783
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	19.368.256
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant		Todas las explotaciones	1 Bovinos			Cabezas	Valor	8.115
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant		Todas las explotaciones	2 Ovinos			Cabezas	Valor	81.652
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant		Todas las explotaciones	4 Porcinos			Cabezas	Valor	58.029
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	747.923
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló		Todas las explotaciones	1 Bovinos			Cabezas	Valor	21.732
