STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,lsu,Size classes of total livestock units (LSU),uaarea,Utilised agricultural area,animals,Live animals,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2007,,38709100,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2010,,48697900,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2013,,41099950,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2016,,46691980,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2020,,38242000,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),HU,Hungary,2023,,38839950,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2005,,12291730,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2007,,11883330,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2010,,10924810,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2013,,10133160,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2016,,11053010,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IE,Ireland,2020,,16504840,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IS,Iceland,2010,,542540,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IS,Iceland,2020,,770270,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2005,,149092690,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2007,,157240180,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2010,,167512020,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2013,,164900370,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2016,,158032760,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),IT,Italy,2020,,173382820,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),LT,Lithuania,2005,,9805730,,,,,
